Company Name,,,,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue
1,,,,-1,-1,-1,-1,-1,-1,-1
605,,,,-1,-1,-1,-1,-1,-1,-1
1884794,,,,-1,-1,-1,-1,-1,-1,-1
101 Commerce,,,,"Austin, TX",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
1010data,,,,"New York, NY",201 to 500 employees,2000,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD)
10th Magnitude,,,,"Chicago, IL",1 to 50 employees,2010,Company - Private,IT Services,Information Technology,$5 to $10 million (USD)
1199SEIU Funds,,,,"New York, NY",1001 to 5000 employees,-1,Nonprofit Organization,Insurance Carriers,Insurance,$100 to $500 million (USD)
120VC,,,,"Brentwood, CA",51 to 200 employees,2000,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
123 Home Care,,,,"Los Angeles, CA",1 to 50 employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
12traits,,,,-1,-1,-1,-1,-1,-1,-1
14 West,,,,"Baltimore, MD",201 to 500 employees,2001,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
"1798, LLC",,,,"La Jolla, CA",1 to 50 employees,-1,Company - Private,Consulting,Business Services,Less than $1 million (USD)
1-800-Flowers,,,,"Carle Place, NY",1001 to 5000 employees,1976,Company - Public,Wholesale,Business Services,$1 to $2 billion (USD)
1-800-Flowers.com,,,,"Carle Place, NY",1001 to 5000 employees,1976,Company - Public,Wholesale,Business Services,$1 to $2 billion (USD)
"1819, LLC",,,,"Bangkok, Thailand",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
1871 Member Companies,,,,-1,-1,-1,-1,-1,-1,-1
1872 Consulting,,,,"Chicago, IL",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
1st American,,,,"Washington, DC",201 to 500 employees,2007,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
2 Bridge Partners,,,,-1,-1,-1,-1,-1,-1,-1
2000 east westmoreland st llc,,,,-1,-1,-1,-1,-1,-1,-1
