Company Name,Global Size,Company Rating,Company Ownership Type,Company Age,Est Yearly Revenue
1010data,3,3.1,2,23,6
10th Magnitude,1,4.6,2,13,3
120VC,2,4.6,2,23,4
1-800-Flowers,5,2.8,3,47,9
1-800-Flowers.com,5,2.8,3,47,9
20th Century Fox Television,5,4,13,119,11
21st Century Oncology,5,3,2,40,8
22nd Century Technologies,5,3.7,2,26,5
24 Seven,3,3.7,2,23,7
2U,5,3.5,3,15,7
360 Capital Group LLC,2,4.6,2,10,3
3degrees,2,4,2,16,5
3M,7,3.9,3,121,12
7-Eleven,7,3.2,13,96,9
"7-Eleven, Inc.",7,3.2,13,96,9
84 Lumber,6,3.7,2,67,10
89 Degrees,5,3.2,2,27,4
"8K Miles Software Services, Inc.",3,3.7,3,15,2
8x8,5,4.3,3,36,7
99 Cents Only,7,2.8,2,41,9
9Gauge Partners,2,4.8,10,12,3
"A R Systems Inc.,",1,4.1,2,40,2
A Wireless,6,2.6,2,27,9
AAA Ohio Auto Club,4,2.8,5,46,2
AACSB International,2,3.8,8,107,4
AAR,6,3.3,3,72,9
AArete,3,4.2,2,15,6
Ab Ovo Inc,2,3.7,2,13,3
Ab Ovo Inc.,2,3.7,2,13,3
Abacus Technology,5,3.3,2,40,7
Abbott,7,3.6,3,135,12
Abbott,6,2.8,3,22,10
Abbott Construction,3,3.9,2,40,7
Abbott Laboratories,7,3.6,3,135,12
AbbVie,7,3.9,3,10,12
Abercrombie & Fitch Co.,7,3.5,3,131,10
Abercrombie and Fitch Co.,7,3.5,3,131,10
Ability Network,3,2.7,3,23,7
Abiomed,5,4,3,42,7
AbleTo,2,4.3,2,15,6
AbleVets,3,3.2,2,11,6
Abrigo,3,3.6,2,22,7
ABS Graphics,2,2.5,2,41,5
Absolute,3,3.5,3,30,7
Absolute Business Solutions Corp,2,3.1,2,22,3
Abzena,2,3.4,3,22,3
Acacia Network,5,3.3,8,57,7
Accelerate Diagnostics,3,4.4,3,11,4
Accelerated Growth,1,4.8,2,14,2
Accelrys,4,3.5,3,30,7
Accenture,7,3.9,3,34,12
Accenture Federal Services,7,3.9,3,34,12
Accenture Federal Services,5,3.6,13,48,7
Access Staffing,5,3.2,2,37,6
"Accident Fund Holdings, Inc",5,3.9,13,29,5
Accion Labs,5,3.8,2,12,3
Accolite Inc,4,4.1,2,16,6
Accounting Principals,4,3.9,3,29,4
Accruent,5,3.4,3,28,7
AccruePartners,2,2.5,2,21,5
Accuracy,5,3.2,3,33,7
Accurate Background LLC,4,3.6,2,26,7
Ace Hardware,5,3.6,2,99,11
ACI Worldwide,5,3.4,3,48,9
Acosta,7,2.8,2,96,11
Acosta Sales & Marketing,7,2.8,2,96,11
Acquis Consulting Group,2,3.9,2,25,3
ACS Solutions,7,4,2,25,8
ActiveCampaign,4,3.4,2,20,6
ActiveCampaign,4,3.3,2,20,6
Activision Blizzard,7,3.6,3,44,11
Activision Blizzard,7,3.4,3,44,11
Activision Publishing,5,3.2,13,44,8
"ACTS, Inc.",6,3.2,8,52,7
ACTUARY AND MEDICAL RECRUITING,1,3.3,2,10,7
Acumen,3,3.2,2,27,4
Acumen Inc.,4,4.4,2,24,7
Acumen Solutions,4,4.4,2,24,7
Acumen Solutions,4,4.5,2,24,7
Ad Council,2,3.3,8,81,5
Adecco,7,3.4,3,27,12
Adept Consulting Services,1,3.6,2,28,2
adept scripts,1,5,2,10,2
adidas,7,3.9,3,74,12
Adorama,4,4.1,2,44,5
ADP,7,3.8,3,74,12
ADT,7,3.1,3,149,10
AdTheorent,3,3.9,2,12,7
"Advanced Drainage Systems, Inc.",5,3,3,57,9
Advanced Network Management Inc,2,4.3,2,29,7
Advantage Resourcing,7,2.7,2,54,9
Advantage Solutions,7,3.4,2,36,12
Advantage Tech,2,4.6,2,26,4
Advent Global Solutions,4,3.4,2,26,7
