,,,,,,,,,,,,,,Global Size,Order number,Industry,Category Number,Headquarters State/Country,Category Number,Company Ownership Type,Category Number,Est Revenue,Order Number
Remove ,Number of Reviews,Average Salary,Job Openings,Location Website,Company Webpage,Global Size 2,Company Location,Industry 2,Description,,,,,1 to 50 employees,1,Accounting,1,AK,1,College / University,1,Less than $1 million (USD),1
Remove ,-1,Unknown,Unknown / Not Applicable,For,Global Size,Industry,Company Rating,Headquarters,Company Ownership Type,Year Founded,Est Revenue,,,51 to 200 employees,2,Accounting & Tax,2,AL,2,Company - Private,2,$1 to $5 million (USD),2
Separate State/Country from city,,,,,,,,,,,,,,201 to 500 employees,3,Advertising & Marketing,3,AR,3,Company - Public,3,$5 to $10 million (USD),3
"Fix State for two records with ""61"" as the state",,,,,,,,,,,,,,501 to 1000 employees,4,Aerospace & Defense,4,AZ,4,Contract,4,$10 to $25 million (USD),4
"Use Year Founded, subtractd from 2023 (current year) to calculate company age",,,,,,,,,,,,,,1001 to 5000 employees,5,Airlines,5,CA,5,Franchise,5,$25 to $50 million (USD),5
"Order Global Size by volume, assign number",,,,,,,,,,,,,,5001 to 10000 employees,6,Architectural & Engineering Services,6,CO,6,Government,6,$50 to $100 million (USD),6
"Order Industry alphabetically, assign number",,,,,,,,,,,,,,10000+ Employees,7,Asphalt Products Manufacturing,7,CT,7,Hospital,7,$100 to $500 million (USD),7
"Order Headquarters by State/US territory alphabetically, countries alphabetically at the bottom - assign number",,,,,,,,,,,,,,,,Audiovisual,8,DC,8,Nonprofit Organization,8,$500 million to $1 billion (USD),8
"Order Ownership Type alphabetically, assign number",,,,,,,,,,,,,,,,Auto Repair & Maintenance,9,DE,9,Other Organization,9,$1 to $2 billion (USD),9
"Order Estimated Revenue by volume, assign number",,,,,,,,,,,,,,,,Automotive Parts & Accessories Stores,10,FL,10,Private Practice / Firm,10,$2 to $5 billion (USD),10
"Using Corr(), determined that Industry and Headquarters had weak correlations (0.0044 and -0.0353, respectively). These were removed",,,,,,,,,,,,,,,,Banking & Lending,11,GA,11,School / School District,11,$5 to $10 billion (USD),11
,,,,,,,,,,,,,,,,Banks & Credit Unions,12,HI,12,Self-employed,12,$10+ billion (USD),12
,,,,,,,,,,,,,,,,Beauty & Personal Accessories Stores,13,IA,13,Subsidiary or Business Segment,13,,
,,,,,,,,,,,,,,,,Biotech & Pharmaceuticals,14,ID,14,,,,
,,,,,,,,,,,,,,,,Brokerage Services,15,IL,15,,,,
,,,,,,,,,,,,,,,,Building & Personnel Services,16,IN,16,,,,
,,,,,,,,,,,,,,,,"Cable, Internet & Telephone Providers",17,KS,17,,,,
,,,,,,,,,,,,,,,,Casual Restaurants,18,KY,18,,,,
,,,,,,,,,,,,,,,,Catering & Food Service Contractors,19,LA,19,,,,
,,,,,,,,,,,,,,,,Chemical Manufacturing,20,MA,20,,,,
,,,,,,,,,,,,,,,,Colleges & Universities,21,MD,21,,,,
,,,,,,,,,,,,,,,,Commercial Equipment Rental,22,ME,22,,,,
,,,,,,,,,,,,,,,,Commercial Equipment Repair & Maintenance,23,MI,23,,,,
,,,,,,,,,,,,,,,,Computer Hardware & Software,24,MN,24,,,,
,,,,,,,,,,,,,,,,Construction,25,MO,25,,,,
