Company ID,Company Name,Size,Industry,Rating,Headquarters,Ownership,Company Age,Est Yearly Revenue
1,Deloitte,7,2,4,33,2,173,12
2,Wells Fargo,7,11,3.7,5,3,171,12
3,IBM,7,62,3.9,33,3,112,12
4,Memorial Sloan-Kettering,7,55,3.9,33,8,139,10
5,Asembia,4,14,3.6,30,2,19,3
6,BD,7,54,3.6,30,3,126,12
7,Rubicon Project,3,65,3.4,5,3,16,7
8,Swiss Re,7,63,3.8,74,3,160,12
9,Bristol-Myers Squibb,7,14,3.8,33,3,165,12
10,Gannett Fleming,5,6,4.2,37,2,108,7
11,CB Insights,3,37,4.1,33,2,14,5
12,Amplify,3,68,3.6,33,2,13,7
13,Efficio,3,26,4.2,75,2,23,6
14,Mesirow Financial,4,66,3.7,15,2,86,7
15,Visiting Nurse Service of New York,7,55,3.8,33,8,130,10
16,NYSTEC,2,26,3.8,33,8,27,5
17,Jefferies Financial Group Inc.,5,66,3.6,33,3,61,10
18,Payoneer,5,71,4.2,33,2,18,7
19,NBC Universal,7,113,3.8,33,3,117,12
20,TEEMA,3,102,4.7,4,2,15,6
21,DMGT,6,116,4,75,3,127,9
22,Citi,7,66,3.7,33,3,211,12
23,MUFG,7,12,3.1,65,3,159,12
24,iHeartRadio,7,91,3.2,42,3,51,11
25,Russell Tobin & Associates,2,102,3.5,33,13,13,4
26,Computer Resources of America,1,67,4.2,33,2,31,8
27,Nasdaq,5,104,3.6,33,3,52,10
28,LanceSoft Inc,5,102,3.8,44,2,23,7
29,The Provident Bank,4,12,3,30,13,184,7
30,JPMorgan Chase,7,66,3.9,33,3,224,12
31,Barclays,7,12,3.8,75,3,333,12
32,Riskcare,2,26,3.5,75,2,29,3
33,CyberCoders,3,102,4.2,5,13,24,7
34,Black Systems LLC,3,24,4.4,5,2,16,5
35,"Marsh & McLennan Companies, Inc.",7,63,3.4,33,3,152,12
36,XDuce,1,67,4,30,2,17,2
37,UBS,7,66,3.6,74,3,161,12
38,Healthline Media,3,83,3.5,5,2,17,6
39,Paris Baguette,5,40,2.7,5,2,37,6
40,Zealogics.com,3,67,4.3,30,2,11,4
41,Munich Re,6,64,3.7,58,3,143,12
42,MassMutual,6,64,3.7,20,2,172,12
43,Dynamic Computing Services,2,67,4.7,42,2,33,4
44,Signature Consultants,5,102,3.6,10,2,26,7
45,Roku,5,67,3.9,5,3,21,8
46,United IT Solutions,1,26,3.8,42,2,13,2
47,TSR Consulting,3,102,3.6,33,3,54,6
48,Barclays Bank,7,12,3.8,75,3,333,12
49,Veeva Systems,5,37,3.5,5,3,16,8
50,Eliassen Group,5,102,4.2,20,2,34,7
51,Mitchell Martin,4,102,4.1,33,2,39,7
52,M&T Bank Corporation,7,12,3.3,33,3,167,11
