Company Name,Company Rating,Global Size,Company Rating,Company Ownership Type,Company Rating,Company Age,Company Rating,Est Yearly Revenue
1010data,3.1,3,3.1,2,3.1,23,3.1,6
10th Magnitude,4.6,1,4.6,2,4.6,13,4.6,3
120VC,4.6,2,4.6,2,4.6,23,4.6,4
1-800-Flowers,2.8,5,2.8,3,2.8,47,2.8,9
1-800-Flowers.com,2.8,5,2.8,3,2.8,47,2.8,9
20th Century Fox Television,4,5,4,13,4,119,4,11
21st Century Oncology,3,5,3,2,3,40,3,8
22nd Century Technologies,3.7,5,3.7,2,3.7,26,3.7,5
24 Seven,3.7,3,3.7,2,3.7,23,3.7,7
2U,3.5,5,3.5,3,3.5,15,3.5,7
360 Capital Group LLC,4.6,2,4.6,2,4.6,10,4.6,3
3degrees,4,2,4,2,4,16,4,5
3M,3.9,7,3.9,3,3.9,121,3.9,12
7-Eleven,3.2,7,3.2,13,3.2,96,3.2,9
"7-Eleven, Inc.",3.2,7,3.2,13,3.2,96,3.2,9
84 Lumber,3.7,6,3.7,2,3.7,67,3.7,10
89 Degrees,3.2,5,3.2,2,3.2,27,3.2,4
"8K Miles Software Services, Inc.",3.7,3,3.7,3,3.7,15,3.7,2
8x8,4.3,5,4.3,3,4.3,36,4.3,7
99 Cents Only,2.8,7,2.8,2,2.8,41,2.8,9
9Gauge Partners,4.8,2,4.8,10,4.8,12,4.8,3
"A R Systems Inc.,",4.1,1,4.1,2,4.1,40,4.1,2
A Wireless,2.6,6,2.6,2,2.6,27,2.6,9
AAA Ohio Auto Club,2.8,4,2.8,5,2.8,46,2.8,2
AACSB International,3.8,2,3.8,8,3.8,107,3.8,4
AAR,3.3,6,3.3,3,3.3,72,3.3,9
AArete,4.2,3,4.2,2,4.2,15,4.2,6
Ab Ovo Inc,3.7,2,3.7,2,3.7,13,3.7,3
Ab Ovo Inc.,3.7,2,3.7,2,3.7,13,3.7,3
Abacus Technology,3.3,5,3.3,2,3.3,40,3.3,7
Abbott,3.6,7,3.6,3,3.6,135,3.6,12
Abbott,2.8,6,2.8,3,2.8,22,2.8,10
Abbott Construction,3.9,3,3.9,2,3.9,40,3.9,7
Abbott Laboratories,3.6,7,3.6,3,3.6,135,3.6,12
AbbVie,3.9,7,3.9,3,3.9,10,3.9,12
Abercrombie & Fitch Co.,3.5,7,3.5,3,3.5,131,3.5,10
Abercrombie and Fitch Co.,3.5,7,3.5,3,3.5,131,3.5,10
Ability Network,2.7,3,2.7,3,2.7,23,2.7,7
Abiomed,4,5,4,3,4,42,4,7
AbleTo,4.3,2,4.3,2,4.3,15,4.3,6
AbleVets,3.2,3,3.2,2,3.2,11,3.2,6
Abrigo,3.6,3,3.6,2,3.6,22,3.6,7
ABS Graphics,2.5,2,2.5,2,2.5,41,2.5,5
Absolute,3.5,3,3.5,3,3.5,30,3.5,7
Absolute Business Solutions Corp,3.1,2,3.1,2,3.1,22,3.1,3
Abzena,3.4,2,3.4,3,3.4,22,3.4,3
Acacia Network,3.3,5,3.3,8,3.3,57,3.3,7
Accelerate Diagnostics,4.4,3,4.4,3,4.4,11,4.4,4
Accelerated Growth,4.8,1,4.8,2,4.8,14,4.8,2
Accelrys,3.5,4,3.5,3,3.5,30,3.5,7
Accenture,3.9,7,3.9,3,3.9,34,3.9,12
Accenture Federal Services,3.9,7,3.9,3,3.9,34,3.9,12
Accenture Federal Services,3.6,5,3.6,13,3.6,48,3.6,7
Access Staffing,3.2,5,3.2,2,3.2,37,3.2,6
"Accident Fund Holdings, Inc",3.9,5,3.9,13,3.9,29,3.9,5
Accion Labs,3.8,5,3.8,2,3.8,12,3.8,3
Accolite Inc,4.1,4,4.1,2,4.1,16,4.1,6
Accounting Principals,3.9,4,3.9,3,3.9,29,3.9,4
Accruent,3.4,5,3.4,3,3.4,28,3.4,7
AccruePartners,2.5,2,2.5,2,2.5,21,2.5,5
Accuracy,3.2,5,3.2,3,3.2,33,3.2,7
Accurate Background LLC,3.6,4,3.6,2,3.6,26,3.6,7
Ace Hardware,3.6,5,3.6,2,3.6,99,3.6,11
ACI Worldwide,3.4,5,3.4,3,3.4,48,3.4,9
Acosta,2.8,7,2.8,2,2.8,96,2.8,11
Acosta Sales & Marketing,2.8,7,2.8,2,2.8,96,2.8,11
Acquis Consulting Group,3.9,2,3.9,2,3.9,25,3.9,3
ACS Solutions,4,7,4,2,4,25,4,8
ActiveCampaign,3.4,4,3.4,2,3.4,20,3.4,6
ActiveCampaign,3.3,4,3.3,2,3.3,20,3.3,6
Activision Blizzard,3.6,7,3.6,3,3.6,44,3.6,11
Activision Blizzard,3.4,7,3.4,3,3.4,44,3.4,11
Activision Publishing,3.2,5,3.2,13,3.2,44,3.2,8
"ACTS, Inc.",3.2,6,3.2,8,3.2,52,3.2,7
ACTUARY AND MEDICAL RECRUITING,3.3,1,3.3,2,3.3,10,3.3,7
Acumen,3.2,3,3.2,2,3.2,27,3.2,4
Acumen Inc.,4.4,4,4.4,2,4.4,24,4.4,7
Acumen Solutions,4.4,4,4.4,2,4.4,24,4.4,7
Acumen Solutions,4.5,4,4.5,2,4.5,24,4.5,7
Ad Council,3.3,2,3.3,8,3.3,81,3.3,5
Adecco,3.4,7,3.4,3,3.4,27,3.4,12
Adept Consulting Services,3.6,1,3.6,2,3.6,28,3.6,2
adept scripts,5,1,5,2,5,10,5,2
adidas,3.9,7,3.9,3,3.9,74,3.9,12
Adorama,4.1,4,4.1,2,4.1,44,4.1,5
ADP,3.8,7,3.8,3,3.8,74,3.8,12
ADT,3.1,7,3.1,3,3.1,149,3.1,10
AdTheorent,3.9,3,3.9,2,3.9,12,3.9,7
"Advanced Drainage Systems, Inc.",3,5,3,3,3,57,3,9
Advanced Network Management Inc,4.3,2,4.3,2,4.3,29,4.3,7
Advantage Resourcing,2.7,7,2.7,2,2.7,54,2.7,9
Advantage Solutions,3.4,7,3.4,2,3.4,36,3.4,12
Advantage Tech,4.6,2,4.6,2,4.6,26,4.6,4
Advent Global Solutions,3.4,4,3.4,2,3.4,26,3.4,7
"Advent Global Solutions, Inc.",3.4,4,3.4,2,3.4,26,3.4,7
Advisor Group,3.4,5,3.4,2,3.4,7,3.4,2
Advisor Group,3.5,5,3.5,2,3.5,7,3.5,2
Advisors Asset Management,2.7,3,2.7,2,2.7,44,2.7,7
Advocate Aurora Health,3.6,7,3.6,7,3.6,5,3.6,12
AECOM,3.4,7,3.4,3,3.4,33,3.4,12
Aegis Media,2.8,5,2.8,13,2.8,45,2.8,10
Aegis Project Controls,4.9,2,4.9,2,4.9,17,4.9,4
AEP,3.6,7,3.6,3,3.6,117,3.6,12
Aequor Technologies Inc,4.2,3,4.2,2,4.2,25,4.2,5
AESI,2.9,2,2.9,2,2.9,30,2.9,3
AETEA Information Technology Inc,3.9,3,3.9,2,3.9,19,3.9,6
Aetna,3.3,7,3.3,3,3.3,170,3.3,12
AffiniPay,5,2,5,2,5,18,5,4
AFFINITY HEALTH PLAN,2.4,4,2.4,8,2.4,37,2.4,9
Aga Fincorp,5,1,5,2,5,20,5,2
A-Gas Americas,4,4,4,2,4,30,4,6
Age of Learning,3.3,4,3.3,2,3.3,16,3.3,7
Ageatia Technology Consultancy Services,3.1,2,3.1,2,3.1,21,3.1,6
Agil3Tech (Agil3 Technology Solutions),3.8,1,3.8,2,3.8,11,3.8,3
"Agile Global Solutions, Inc",4.6,2,4.6,2,4.6,20,4.6,4
Agilisium LLC,4.8,3,4.8,2,4.8,11,4.8,4
AgreeYa Solutions,3.7,5,3.7,2,3.7,24,3.7,6
AHMC Healthcare,3,6,3,2,3,25,3,9
AIDS Healthcare Foundation,4.7,5,4.7,8,4.7,36,4.7,9
AIG,3.2,7,3.2,3,3.2,104,3.2,12
Air Methods,3.1,5,3.1,3,3.1,43,3.1,9
Air Products,4.1,7,4.1,3,4.1,83,4.1,11
"Airetel Staffing, Inc",4.9,1,4.9,2,4.9,23,4.9,4
Airgas,3.7,7,3.7,3,3.7,41,3.7,11
Airgas,3.8,7,3.8,3,3.8,41,3.8,11
Airtime,4.5,2,4.5,2,4.5,11,4.5,2
"AIT Global, Inc.",3.7,2,3.7,2,3.7,25,3.7,4
Aite Group,3.8,2,3.8,2,3.8,18,3.8,4
Ajilon,3.6,5,3.6,3,3.6,29,3.6,7
Ajinomoto Bio-Pharma Services,3.8,4,3.8,2,3.8,25,3.8,7
Akamai,4.1,6,4.1,3,4.1,25,4.1,10
Akamai,4,6,4,3,4,25,4,10
Akamai Technologies Inc,4,6,4,3,4,25,4,10
Akima Management Services,3.3,6,3.3,2,3.3,20,3.3,9
"Akimeka, LLC",3.5,3,3.5,3,3.5,26,3.5,4
Akorbi,3.5,3,3.5,2,3.5,20,3.5,5
Akraya Inc.,4.6,2,4.6,2,4.6,22,4.6,5
Akumin,2.9,5,2.9,3,2.9,7,2.9,7
Alameda County Water District,4.9,3,4.9,6,4.9,109,4.9,7
Alaska USA,3.4,5,3.4,9,3.4,75,3.4,7
Albemarle,3.4,6,3.4,3,3.4,29,3.4,10
Albertsons Companies,3.3,7,3.3,2,3.3,84,3.3,12
Albin Engineering Services,2.9,2,2.9,2,2.9,30,2.9,3
ALEGENT CREIGHTON CLINIC,3.2,7,3.2,8,3.2,27,3.2,12
ALERE,2.8,6,2.8,3,2.8,22,2.8,10
Alert Logic,3.5,4,3.5,2,3.5,21,3.5,7
Alert Logic,3.4,4,3.4,2,3.4,21,3.4,7
ALEX - Alternative Experts,4,2,4,2,4,36,4,4
ALEX Alternative Experts LLC,4,2,4,2,4,36,4,4
"ALEX-Alternative Experts, LLC",4,2,4,2,4,36,4,4
Alexandria Real Estate Equities,3.9,3,3.9,3,3.9,29,3.9,8
Alexza Pharmaceuticals,3.7,1,3.7,2,3.7,23,3.7,3
Algonquin/Liberty/Empire District,3.2,5,3.2,3,3.2,35,3.2,12
Alion,3.7,5,3.7,2,3.7,22,3.7,9
Alion Science & Technology,3.7,5,3.7,2,3.7,22,3.7,9
AlixPartners,4.6,5,4.6,2,4.6,42,4.6,9
Alkami Technology,4,4,4,2,4,14,4,6
All Campus,4.7,2,4.7,2,4.7,11,4.7,5
All Web Leads,3.4,3,3.4,2,3.4,18,3.4,7
Allegan General Hospital,3.7,3,3.7,2,3.7,85,3.7,5
Allegiance Bank,4.3,4,4.3,3,4.3,16,4.3,11
Allegiance Bank,4.4,4,4.4,3,4.4,16,4.4,11
Allen Institute,3.5,3,3.5,8,3.5,20,3.5,7
Alliance Data - Retail,3.1,7,3.1,3,3.1,27,3.1,11
Alliance Data card services,3.2,6,3.2,3,3.2,37,3.2,11
Alliance Global Tech Inc.,5,1,5,2,5,10,5,5
Alliance IT,4.4,2,4.4,2,4.4,12,4.4,3
Alliance Laundry,2.6,5,2.6,2,2.6,115,2.6,9
Alliance Resource Group,4.9,1,4.9,2,4.9,20,4.9,3
AllianceBernstein,3.2,5,3.2,3,3.2,56,3.2,10
Alliant Credit Union,3.4,4,3.4,8,3.4,88,3.4,7
Alliant Energy,3.4,5,3.4,3,3.4,106,3.4,10
Alliant Insurance Services,3.2,5,3.2,2,3.2,98,3.2,9
Alliant International University,3.2,4,3.2,1,3.2,21,3.2,4
Allied 100,5,2,5,2,5,21,5,7
"Allied Consultants, Inc.",4,2,4,2,4,32,4,3
Allied Electronics,3.4,4,3.4,3,3.4,95,3.4,8
Allied Solutions,3.2,5,3.2,13,3.2,22,3.2,7
Allied World Assurance,3.2,4,3.2,3,3.2,22,3.2,10
Allscripts,3.3,6,3.3,3,3.3,37,3.3,9
Allstaff Solutions,4.9,2,4.9,2,4.9,14,4.9,4
Allstate,3.4,7,3.4,3,3.4,92,3.4,12
"Allstate Insurance - 1202 Irving, TX",3.4,7,3.4,3,3.4,92,3.4,12
"Alltech Consulting Services, Inc.",2.5,1,2.5,2,2.5,25,2.5,6
Alluvion Staffing,4.1,1,4.1,2,4.1,23,4.1,1
Ally Financial,3.7,6,3.7,3,3.7,104,3.7,11
Alpha Consulting,4,3,4,2,4,29,4,4
Alpha Consulting Corp.,4,3,4,2,4,29,4,4
"Alpha Net Consulting, LLC",3.1,3,3.1,2,3.1,22,3.1,5
Alstom Transportation,3.7,7,3.7,13,3.7,95,3.7,11
ALTA IT Services,3.9,3,3.9,2,3.9,19,3.9,4
AltaMed,3.2,5,3.2,8,3.2,54,3.2,3
Altamed Health Services,3.2,5,3.2,8,3.2,54,3.2,3
Alteryx,3.4,5,3.4,3,3.4,26,3.4,7
Alvarez & Marsal,4.2,5,4.2,2,4.2,40,4.2,9
Amazing.com,3.4,1,3.4,2,3.4,11,3.4,5
Amazon,3.9,7,3.9,3,3.9,29,3.9,12
AMC Networks,3.4,5,3.4,3,3.4,17,3.4,10
Amdocs,3.8,7,3.8,3,3.8,41,3.8,10
Amerant Bank,2.9,4,2.9,3,2.9,36,2.9,7
Ameren,3.9,6,3.9,3,3.9,119,3.9,11
American Access Casualty Company,2.7,3,2.7,2,2.7,24,2.7,7
American Airlines,3.8,7,3.8,3,3.8,97,3.8,12
American Auto Shield,4.2,3,4.2,2,4.2,21,4.2,4
American Bancshares Mortgage,4.1,2,4.1,2,4.1,28,4.1,4
American Bar Association,2.8,4,2.8,8,2.8,145,2.8,7
American Bureau of Shipping,3.3,5,3.3,9,3.3,161,3.3,9
American Bureau of Shipping,3.4,5,3.4,9,3.4,161,3.4,9
American Chemical Society,3,5,3,8,3,147,3,8
American College of Radiology,3.7,3,3.7,8,3.7,100,3.7,7
American CyberSystems,4,7,4,2,4,25,4,8
"American Cybersystems, Inc.",4,7,4,2,4,25,4,8
American Enterprise Institute,4.7,2,4.7,8,4.7,80,4.7,6
American Family Insurance,3.5,6,3.5,2,3.5,96,3.5,11
American Heart Association,4,5,4,8,4,99,4,8
American Homes 4 Rent,3.8,5,3.8,3,3.8,11,3.8,8
American Institute of Aeronautics and Astronautics,3.8,2,3.8,8,3.8,60,3.8,4
American Institutes for Research,3.1,5,3.1,8,3.1,77,3.1,7
American International Group,3.2,7,3.2,3,3.2,104,3.2,12
American Management Services,3.2,2,3.2,2,3.2,37,3.2,5
"American Municipal Power, Inc",2.7,3,2.7,6,2.7,52,2.7,9
American National Insurance,3.1,1,3.1,3,3.1,118,3.1,10
American Red Cross,3.2,7,3.2,8,3.2,142,3.2,10
American Specialty Health,2.9,5,2.9,2,2.9,36,2.9,7
American Specialty Health Incorporated,2.9,5,2.9,2,2.9,36,2.9,7
American Strategic Insurance,3.8,5,3.8,13,3.8,26,3.8,9
AMERICAN SYSTEMS,3.7,5,3.7,2,3.7,48,3.7,7
American Tire Distributors,2.7,5,2.7,2,2.7,88,2.7,11
American Tire Distributors,2.8,5,2.8,2,2.8,88,2.8,11
Amerihealth,3.7,6,3.7,13,3.7,26,3.7,5
AmeriHealth Caritas,3.1,6,3.1,2,3.1,40,3.1,11
Ameris Bank,2.5,5,2.5,3,2.5,52,2.5,12
